Crop,pH,EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulphur,Zinc,Iron,Copper,Manganese,Boron
Sugarcane,5.72,0.93,1.11,578,39,474,37,0.45,2.2,1.41,2.05,0.48
Rice,5.65,0.61,0.99,165,19,424,53,1.42,7.36,0.41,7.26,0.29
Bajra,8.18,0.91,0.24,285,32,467,41,1.91,7.47,0.79,1.43,0.14
Soybean,6.08,1.31,0.6,472,16,299,55,1.67,6.32,0.31,4.71,0.69
Grapes,6.75,0.77,0.58,533,45,293,25,0.72,3.07,1.02,1.82,0.44
Grapes,8.1,1.41,0.38,224,32,153,26,0.85,2.81,0.59,1.13,0.48
Banana,8.15,0.93,0.29,184,8,263,19,0.76,7.58,1.71,5.3,1.2
Tur,8.12,1.3,0.21,385,30,326,30,0.25,8.29,0.31,2.65,0.37
Sugarcane,8.01,0.66,0.3,340,18,527,37,1.04,5.53,0.87,6.69,1.45
Soybean,5.97,0.4,1.1,410,25,252,28,1.41,6.51,0.22,3.53,1.42
Rice,5.69,0.83,0.73,466,7,214,30,1.5,3.8,1.43,4.07,0.13
Rice,5.61,0.36,0.51,512,37,416,5,1.69,7.43,1.93,2.15,0.79
Wheat,6.38,0.45,0.53,206,6,540,52,1.12,6.71,1.64,2.3,0.73
Sugarcane,6.19,0.25,1.03,438,38,456,6,0.44,6.28,0.34,6.98,1.12
Maize,7.76,0.2,0.41,211,38,212,39,1.46,5.19,1.1,2.38,0.57
Maize,5.6,1.49,0.38,410,39,399,25,1.11,6.95,1.37,5.04,1.12
Groundnut,6.62,1.08,0.43,395,14,421,56,1.43,3.2,1.0,5.7,0.59
Onion,6.03,0.68,0.8,512,32,227,39,0.61,4.82,1.75,5.7,0.32
Bajra,5.8,0.84,0.73,560,13,570,41,1.26,7.32,0.68,6.95,0.13
Grapes,5.87,1.46,0.52,267,13,310,40,1.55,5.76,1.85,7.53,0.67
Groundnut,5.83,1.35,0.5,604,40,526,19,0.58,2.8,1.89,3.2,0.75
Maize,7.33,1.08,1.15,186,25,484,9,1.21,8.81,1.71,6.16,1.01
Jowar,7.72,0.26,1.05,234,17,236,47,1.86,5.73,1.71,5.93,1.03
Banana,5.53,0.85,0.61,407,8,505,40,1.36,7.93,0.69,7.59,0.17
Maize,5.83,0.36,0.5,624,21,429,24,1.88,5.65,1.11,1.48,0.31
Tur,7.14,0.95,0.42,382,22,411,30,0.79,7.76,0.4,6.42,1.11
Soybean,6.92,0.49,1.17,360,38,100,6,1.41,2.35,0.43,4.66,0.18
Banana,8.06,1.04,0.84,503,26,355,26,1.96,2.86,0.86,1.31,1.15
Gram,7.05,0.14,0.95,590,32,375,50,0.85,2.96,0.41,7.12,0.16
Cotton,6.23,1.43,1.06,468,29,567,44,1.62,6.38,1.09,5.05,0.88
Tur,8.32,0.19,0.77,302,23,188,16,1.65,7.51,1.9,3.05,1.08
Bajra,8.03,1.05,0.55,231,13,285,47,0.76,8.53,0.34,3.96,0.72
Gram,7.78,0.98,0.88,425,18,243,36,1.49,8.23,0.34,3.81,1.34
Groundnut,6.12,1.12,1.04,163,45,543,37,0.85,8.57,1.79,1.62,0.21
Maize,6.11,0.42,0.35,353,29,149,17,1.37,6.46,1.6,2.25,0.82
Jowar,5.58,0.86,0.88,391,40,345,22,0.66,4.47,1.57,4.92,0.74
Rice,5.91,0.47,1.01,599,19,130,59,1.8,9.37,1.24,4.51,1.21
Grapes,7.54,0.36,0.62,456,8,134,57,1.65,5.85,0.99,2.17,1.14
Grapes,6.99,1.37,1.12,576,6,184,51,1.11,8.38,1.94,1.64,0.36
Jowar,7.53,0.85,0.86,168,19,125,9,1.16,2.08,0.14,7.52,0.63
Banana,8.19,0.94,0.31,471,20,510,19,1.22,4.09,0.29,4.09,0.45
Onion,5.57,0.46,0.46,411,40,450,59,1.72,2.54,1.9,3.38,0.69
Bajra,8.16,0.98,0.42,373,33,278,33,0.55,5.75,0.31,4.32,0.79
Jowar,6.97,1.43,0.53,465,23,578,22,0.9,3.81,1.96,7.34,1.49
Bajra,8.44,0.16,1.18,305,36,560,57,0.92,2.75,0.39,5.56,0.76
Onion,7.87,0.78,0.98,190,32,566,14,0.6,4.74,0.32,4.57,1.1
Banana,7.06,0.22,1.0,566,30,208,23,0.28,6.46,0.37,5.14,1.11
Banana,7.89,1.43,0.66,363,34,336,22,1.44,5.36,0.67,6.4,1.24
Soybean,7.81,0.98,0.62,320,18,599,17,1.23,4.49,1.09,1.85,0.28
Groundnut,8.33,0.13,0.61,189,33,286,53,0.78,8.32,1.94,7.11,1.27
Maize,7.59,0.65,0.54,413,7,295,45,0.45,3.18,1.83,7.23,1.32
Jowar,5.87,0.56,0.64,419,19,179,48,1.63,2.83,0.95,6.32,0.23
Tomato,8.42,1.27,0.47,301,19,304,51,1.51,9.15,0.21,1.58,0.53
Bajra,6.55,0.9,0.62,224,14,424,36,0.94,4.49,1.32,6.59,1.4
Tomato,6.18,1.06,0.79,305,18,313,11,0.82,5.2,0.68,5.32,1.48
Banana,6.32,0.71,0.56,183,29,573,5,1.53,4.52,0.18,3.25,0.58
Soybean,6.43,0.52,0.97,618,16,297,23,0.57,6.23,1.12,7.88,1.19
Cotton,6.54,0.42,0.69,525,36,427,25,0.46,5.86,1.12,2.75,1.37
Grapes,6.62,1.05,0.57,327,28,487,48,1.92,5.48,0.49,5.7,0.39
Bajra,8.46,1.35,0.35,280,23,438,12,0.39,3.08,1.57,3.23,1.1
Gram,6.24,1.25,0.26,175,19,213,53,0.87,3.31,1.05,5.81,0.39
Soybean,8.4,0.94,0.45,211,43,298,31,0.83,2.77,0.13,3.95,0.42
Maize,7.92,0.86,0.42,352,36,138,50,0.7,5.02,0.98,4.73,0.27
Sugarcane,8.39,1.45,0.49,612,25,216,19,1.25,9.05,0.49,7.67,0.26
Banana,5.89,1.03,0.88,440,20,150,49,1.82,6.49,1.3,1.8,1.2
Tur,5.67,0.32,0.77,500,18,530,12,1.37,5.35,1.56,7.81,1.01
